displayName,name,notebook,spec,recipe,dataTable,sample,additionalDataTables,description
Parse and display recommendations,io.moderne.Recommendations,moderne_visualizations_misc/recommendations.ipynb,moderne_visualizations_misc/specs/recommendations.yml,io.moderne.ai.research.GetRecommendations,io.moderne.ai.table.Recommendations,samples/recommendations.csv,,Parse each recommendation and collect which recipes are more likely to do the recommendations.
Plugin versions used to build LSTs,io.moderne.LstProvenance,moderne_visualizations_misc/lst_provenance.ipynb,moderne_visualizations_misc/specs/lst_provenance.yml,org.openrewrite.FindLstProvenance,org.openrewrite.table.LstProvenanceTable,samples/v2/org.openrewrite.table.LstProvenanceTable.csv,,The Moderne Gradle and Maven plugins used to build the LSTs.
Portfolio code health overview,io.moderne.PortfolioHealthSunburst,moderne_visualizations_misc/portfolio_health_sunburst.ipynb,moderne_visualizations_misc/specs/portfolio_health_sunburst.yml,io.moderne.prethink.UpdatePrethinkContextStarter,io.moderne.prethink.table.ClassQualityMetrics,samples/v2/io.moderne.prethink.table.ClassQualityMetrics.csv,,"Hierarchical sunburst showing code health across the portfolio. Drill from repository to package to class. Color represents maintainability (green = healthy, red = needs attention). Size represents code volume."
Quality metric distributions across repositories,io.moderne.PortfolioQualityComparisonViolin,moderne_visualizations_misc/portfolio_quality_comparison_violin.ipynb,moderne_visualizations_misc/specs/portfolio_quality_comparison_violin.yml,io.moderne.prethink.UpdatePrethinkContextStarter,io.moderne.prethink.table.MethodQualityMetrics,samples/v2/io.moderne.prethink.table.MethodQualityMetrics.csv,,"Violin plots showing the distribution of a selected quality metric across all repositories in the portfolio. Each violin represents one repository, revealing the shape and spread of the metric distribution. Useful for comparing code quality consistency across the organization."
Recipe performance,io.moderne.RecipePerformance,moderne_visualizations_misc/recipe_performance.ipynb,moderne_visualizations_misc/specs/recipe_performance.yml,*,org.openrewrite.table.RecipeRunStats,samples/recipe_performance.csv,,Display the top N recipes by edit time or scan time.
Release metro map,io.moderne.ReleaseMetroMap,moderne_visualizations_misc/release_metro_map.ipynb,moderne_visualizations_misc/specs/release_metro_map.yml,io.moderne.recipe.releasemetro.ReleaseMetroPlan,io.moderne.recipe.releasemetro.table.ProjectCoordinates,samples/v2/io.moderne.recipe.releasemetro.table.ProjectCoordinates.csv,data_file_dependencies=org.openrewrite.maven.table.DependenciesDeclared; data_file_parents=io.moderne.recipe.releasemetro.table.ParentRelationships,Interactive network graph showing inter-repository dependencies within a release train. Nodes represent repositories and edges show dependency and parent relationships. Helps visualize the dependency structure to plan coordinated multi-repository releases.
Release metro plan,io.moderne.ReleaseMetroPlan,moderne_visualizations_misc/release_metro_plan.ipynb,moderne_visualizations_misc/specs/release_metro_plan.yml,io.moderne.recipe.releasemetro.ReleaseMetroPlan,io.moderne.recipe.releasemetro.table.ProjectCoordinates,samples/v2/io.moderne.recipe.releasemetro.table.ProjectCoordinates.csv,data_file_dependencies=org.openrewrite.maven.table.DependenciesDeclared; data_file_parents=io.moderne.recipe.releasemetro.table.ParentRelationships,"Combined dependency diagram and release plan. Repositories are arranged in wave columns from left to right, with directed edges showing dependency flow. Visualizes both the dependency complexity and the sequential release order in a single view."
Release metro waves,io.moderne.ReleaseMetroWaves,moderne_visualizations_misc/release_metro_waves.ipynb,moderne_visualizations_misc/specs/release_metro_waves.yml,io.moderne.recipe.releasemetro.ReleaseMetroPlan,io.moderne.recipe.releasemetro.table.ProjectCoordinates,samples/v2/io.moderne.recipe.releasemetro.table.ProjectCoordinates.csv,data_file_dependencies=org.openrewrite.maven.table.DependenciesDeclared; data_file_parents=io.moderne.recipe.releasemetro.table.ParentRelationships,"Computes release waves via topological sort of inter-repository dependencies. Wave 0 contains repositories with no internal dependencies that can release first. Each subsequent wave depends only on earlier waves, enabling parallel releases within a wave."
Repository release order,io.moderne.RepositoryReleaseOrder,moderne_visualizations_misc/repository_release_order.ipynb,moderne_visualizations_misc/specs/repository_release_order.yml,org.openrewrite.java.dependencies.DependencyInsight,org.openrewrite.maven.table.DependenciesInUse,samples/dependencies_in_use.csv,,"This report analyzes inter-repository dependencies to suggest an optimal release order for a release train, helping coordinate multi-repository releases."
Spring component relationships,io.moderne.SpringComponentRelationships,moderne_visualizations_misc/spring_component_relationships.ipynb,moderne_visualizations_misc/specs/spring_component_relationships.yml,org.openrewrite.java.spring.search.FindSpringComponents,org.openrewrite.java.spring.table.SpringComponentRelationships,samples/v2/org.openrewrite.java.spring.table.SpringComponentRelationships.csv,,This diagram shows relationships between different Spring components.
Spring component relationships data grid,io.moderne.SpringComponentRelationshipsDataGrid,moderne_visualizations_misc/spring_component_relationships_data_grid.ipynb,moderne_visualizations_misc/specs/spring_component_relationships_data_grid.yml,org.openrewrite.java.spring.search.FindSpringComponents,org.openrewrite.java.spring.table.SpringComponentRelationships,samples/v2/org.openrewrite.java.spring.table.SpringComponentRelationships.csv,,Explore dependency relationships of Spring components.
Spring components data grid,io.moderne.SpringComponentsDataGrid,moderne_visualizations_misc/spring_components_data_grid.ipynb,moderne_visualizations_misc/specs/spring_components_data_grid.yml,org.openrewrite.java.spring.search.FindSpringComponents,org.openrewrite.java.spring.table.SpringComponents,samples/v2/org.openrewrite.java.spring.table.SpringComponents.csv,,Find locations where Spring components are used.
SQL operation usage in code,io.moderne.SqlCrud,moderne_visualizations_misc/sql_crud.ipynb,moderne_visualizations_misc/specs/sql_crud.yml,org.openrewrite.sql.FindSql,org.openrewrite.sql.table.DatabaseColumnsUsed,samples/v2/org.openrewrite.sql.table.DatabaseColumnsUsed.csv,,Reports SQL operation usage. It is a good way to understand the SQL usage patterns and identify call sites.
Technical debt hotspot treemap,io.moderne.TechnicalDebtTreemap,moderne_visualizations_misc/technical_debt_treemap.ipynb,moderne_visualizations_misc/specs/technical_debt_treemap.yml,io.moderne.prethink.UpdatePrethinkContextStarter,io.moderne.prethink.table.MethodQualityMetrics,samples/v2/io.moderne.prethink.table.MethodQualityMetrics.csv,,"Treemap of methods sized by code volume and colored by composite debt score. Hierarchy drills from repository to class to method. The largest, reddest blocks represent the highest-return refactoring targets."
Test coverage gaps by risk and repository,io.moderne.TestGapRiskHeatmap,moderne_visualizations_misc/test_gap_risk_heatmap.ipynb,moderne_visualizations_misc/specs/test_gap_risk_heatmap.yml,io.moderne.prethink.UpdatePrethinkContextStarter,io.moderne.prethink.table.TestGaps,samples/test_gaps.csv,,"Heatmap showing untested method counts per repository, bucketed by risk score. Color intensity reflects the count in each bucket. Quickly identifies which repositories carry the most untested high-risk code."
Test quality executive dashboard,io.moderne.TestQualityExecutiveDashboard,moderne_visualizations_misc/test_quality_executive_dashboard.ipynb,moderne_visualizations_misc/specs/test_quality_executive_dashboard.yml,io.moderne.prethink.UpdatePrethinkContextStarter,io.moderne.prethink.table.TestQualityIssues,samples/v2/io.moderne.prethink.table.TestQualityIssues.csv,,"Multi-panel dashboard summarizing test quality issues across the portfolio. Includes worst repositories, severity distribution, issue type breakdown, and top fix priorities."
Test quality issue treemap,io.moderne.TestQualityTreemap,moderne_visualizations_misc/test_quality_treemap.ipynb,moderne_visualizations_misc/specs/test_quality_treemap.yml,io.moderne.prethink.UpdatePrethinkContextStarter,io.moderne.prethink.table.TestQualityIssues,samples/v2/io.moderne.prethink.table.TestQualityIssues.csv,,"Treemap showing test quality issues organized by repository, class, and issue type. Size reflects issue count and color reflects worst severity. Quickly identifies hotspots of test quality problems."
Test quality issues by language,io.moderne.TestQualityByLanguage,moderne_visualizations_misc/test_quality_by_language.ipynb,moderne_visualizations_misc/specs/test_quality_by_language.yml,io.moderne.prethink.UpdatePrethinkContextStarter,io.moderne.prethink.table.TestQualityIssues,samples/v2/io.moderne.prethink.table.TestQualityIssues.csv,,Grouped bar chart showing test quality issue counts by issue type and programming language. Reveals which languages have the most issues in each category.
Test quality issues by repository and type,io.moderne.TestQualityIssueHeatmap,moderne_visualizations_misc/test_quality_issue_heatmap.ipynb,moderne_visualizations_misc/specs/test_quality_issue_heatmap.yml,io.moderne.prethink.UpdatePrethinkContextStarter,io.moderne.prethink.table.TestQualityIssues,samples/v2/io.moderne.prethink.table.TestQualityIssues.csv,,"Heatmap showing test quality issue counts per repository, bucketed by issue type. Color intensity reflects the count in each bucket. Quickly identifies which repositories carry the most test quality issues by category."
Test quality issues language sunburst,io.moderne.TestQualityLanguageSunburst,moderne_visualizations_misc/test_quality_language_sunburst.ipynb,moderne_visualizations_misc/specs/test_quality_language_sunburst.yml,io.moderne.prethink.UpdatePrethinkContextStarter,io.moderne.prethink.table.TestQualityIssues,samples/v2/io.moderne.prethink.table.TestQualityIssues.csv,,"Sunburst chart showing test quality issues organized by language, severity, and issue type. Inner ring shows languages, middle ring shows severity levels, and outer ring shows specific issue types."
Test quality risk matrix,io.moderne.TestQualityRiskMatrix,moderne_visualizations_misc/test_quality_risk_matrix.ipynb,moderne_visualizations_misc/specs/test_quality_risk_matrix.yml,io.moderne.prethink.UpdatePrethinkContextStarter,io.moderne.prethink.table.TestQualityIssues,samples/v2/io.moderne.prethink.table.TestQualityIssues.csv,,Bubble chart showing the distribution of test quality issues by issue type and severity. Bubble size reflects the count of issues in each combination. Quickly identifies which issue types are most prevalent at each severity level.
Text matches,io.moderne.TextMatchesTreeGrid,moderne_visualizations_misc/text_matches_tree_grid.ipynb,moderne_visualizations_misc/specs/text_matches_tree_grid.yml,org.openrewrite.text.Find,org.openrewrite.table.TextMatches,samples/v2/org.openrewrite.table.TextMatches.csv,,Unique list of GitHub action secrets used in workflows. Expand the secret row to see a list of repositories using that secret.
Top 10 parse failures grouped by stacktraces,io.moderne.ParseFailureStacktraces,moderne_visualizations_misc/parse_failure_stacktraces.ipynb,moderne_visualizations_misc/specs/parse_failure_stacktraces.yml,org.openrewrite.FindParseFailures,org.openrewrite.table.ParseFailures,samples/v2/org.openrewrite.table.ParseFailures.csv,,This report shows the parse failure stacktraces analysis by parsers and counts.
UI5 lint rule treemap,io.moderne.UI5LintRuleTreemap,moderne_visualizations_misc/ui5lint_rule_treemap.ipynb,moderne_visualizations_misc/specs/ui5lint_rule_treemap.yml,org.openrewrite.codemods.UI5,org.openrewrite.codemods.UI5Messages,samples/ui5_lint.csv,,Treemap of UI5 lint violations by rules.
UI5 lint violations heatmap,io.moderne.UI5LintViolationsHeatmap,moderne_visualizations_misc/ui5lint_violations_heatmap.ipynb,moderne_visualizations_misc/specs/ui5lint_violations_heatmap.yml,org.openrewrite.codemods.UI5,org.openrewrite.codemods.UI5Messages,samples/ui5_lint.csv,,Heatmap of UI5 lint violations by repository.
